"Result","U:0","U:1","U:2","T","T_0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,nan,nan,0,5.16032e+00,5.16032e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.19855e+00,5.19855e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.23677e+00,5.23677e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,5.27499e+00,5.27499e+00,9.55615e-01,0.00000e+00
-2.47546e+01,4.49401e-03,-2.80604e-06,-4.04817e-24,1.77550e-11,1.77550e-11,1,5.31322e+00,5.31322e+00,9.55615e-01,0.00000e+00
-2.45745e+01,1.61399e-02,-5.56989e-06,1.45801e-24,2.12613e-11,2.12613e-11,1,5.35144e+00,5.35144e+00,9.55615e-01,0.00000e+00
-2.44676e+01,3.09663e-02,-9.06953e-06,8.03259e-25,2.36530e-11,2.36530e-11,1,5.38967e+00,5.38967e+00,9.55615e-01,0.00000e+00
-2.44074e+01,4.72471e-02,-1.17398e-05,3.26344e-27,2.51202e-11,2.51202e-11,1,5.42789e+00,5.42789e+00,9.55615e-01,0.00000e+00
-2.43809e+01,6.32609e-02,-9.79224e-06,3.27450e-25,2.57948e-11,2.57948e-11,1,5.46612e+00,5.46612e+00,9.55615e-01,0.00000e+00
-2.43792e+01,7.81447e-02,-1.05014e-05,1.00649e-26,2.58361e-11,2.58361e-11,1,5.50434e+00,5.50434e+00,9.55615e-01,0.00000e+00
-2.43976e+01,9.12081e-02,-7.87617e-06,-3.35790e-26,2.53674e-11,2.53674e-11,1,5.54257e+00,5.54257e+00,9.55615e-01,0.00000e+00
-2.44322e+01,1.02016e-01,-1.34468e-06,-3.53559e-25,2.45043e-11,2.45043e-11,1,5.58079e+00,5.58079e+00,9.55615e-01,0.00000e+00
-2.44797e+01,1.10493e-01,4.38752e-06,2.73665e-25,2.33697e-11,2.33697e-11,1,5.61902e+00,5.61902e+00,9.55615e-01,0.00000e+00
-2.45388e+01,1.16654e-01,2.05945e-06,3.95074e-25,2.20287e-11,2.20287e-11,1,5.65724e+00,5.65724e+00,9.55615e-01,0.00000e+00
-2.46077e+01,1.20380e-01,1.46573e-06,-6.02575e-25,2.05621e-11,2.05621e-11,1,5.69547e+00,5.69547e+00,9.55615e-01,0.00000e+00
-2.46861e+01,1.21652e-01,1.49086e-06,1.67732e-25,1.90083e-11,1.90083e-11,1,5.73369e+00,5.73369e+00,9.55615e-01,0.00000e+00
-2.47726e+01,1.20387e-01,5.04688e-07,-3.68922e-25,1.74366e-11,1.74366e-11,1,5.77191e+00,5.77191e+00,9.55615e-01,0.00000e+00
-2.48660e+01,1.16661e-01,-1.38325e-06,7.31259e-25,1.58829e-11,1.58829e-11,1,5.81014e+00,5.81014e+00,9.55615e-01,0.00000e+00
-2.49666e+01,1.10503e-01,-3.97078e-06,4.61017e-25,1.43640e-11,1.43640e-11,1,5.84836e+00,5.84836e+00,9.55615e-01,0.00000e+00
-2.50737e+01,1.02029e-01,1.78918e-06,-7.43073e-25,1.29045e-11,1.29045e-11,1,5.88659e+00,5.88659e+00,9.55615e-01,0.00000e+00
-2.51895e+01,9.12234e-02,8.13122e-06,3.42872e-25,1.14907e-11,1.14907e-11,1,5.92481e+00,5.92481e+00,9.55615e-01,0.00000e+00
-2.53160e+01,7.81604e-02,1.10305e-05,1.10902e-25,1.01284e-11,1.01284e-11,1,5.96304e+00,5.96304e+00,9.55615e-01,0.00000e+00
-2.54547e+01,6.32749e-02,1.03150e-05,-7.79806e-25,8.81848e-12,8.81848e-12,1,6.00126e+00,6.00126e+00,9.55615e-01,0.00000e+00
-2.56081e+01,4.72594e-02,1.23124e-05,4.39065e-25,7.56355e-12,7.56355e-12,1,6.03949e+00,6.03949e+00,9.55615e-01,0.00000e+00
-2.57827e+01,3.09751e-02,9.44965e-06,1.19704e-24,6.35167e-12,6.35167e-12,1,6.07771e+00,6.07771e+00,9.55615e-01,0.00000e+00
-2.59853e+01,1.61434e-02,6.04525e-06,1.55503e-24,5.19027e-12,5.19027e-12,1,6.11594e+00,6.11594e+00,9.55615e-01,0.00000e+00
-2.62379e+01,4.49438e-03,3.07391e-06,-4.28353e-24,4.02893e-12,4.02893e-12,1,6.15416e+00,6.15416e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.19239e+00,6.19239e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.23061e+00,6.23061e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.26883e+00,6.26883e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.30706e+00,6.30706e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.34528e+00,6.34528e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.38351e+00,6.38351e+00,9.55615e-01,0.00000e+00
nan,nan,nan,nan,nan,nan,0,6.42173e+00,6.42173e+00,9.55615e-01,0.00000e+00
