"Result","T","T_0","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.43469e+01,8.54576e-07,8.54576e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.32554e+00,3.32554e+00,9.55614e-01,0.00000e+00
-1.45119e+01,7.94135e-07,7.94135e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.36376e+00,3.36376e+00,9.55614e-01,0.00000e+00
-1.46769e+01,7.33694e-07,7.33694e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.40199e+00,3.40199e+00,9.55614e-01,0.00000e+00
-1.48418e+01,6.73253e-07,6.73253e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.44021e+00,3.44021e+00,9.55614e-01,0.00000e+00
-1.50068e+01,6.12811e-07,6.12811e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.47844e+00,3.47844e+00,9.55614e-01,0.00000e+00
-1.51718e+01,5.52370e-07,5.52370e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.51666e+00,3.51666e+00,9.55614e-01,0.00000e+00
-1.53367e+01,4.91929e-07,4.91929e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.55488e+00,3.55488e+00,9.55614e-01,0.00000e+00
-1.55017e+01,4.31488e-07,4.31488e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.59311e+00,3.59311e+00,9.55614e-01,0.00000e+00
-1.56666e+01,3.71047e-07,3.71047e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.63133e+00,3.63133e+00,9.55614e-01,0.00000e+00
-1.58316e+01,3.10606e-07,3.10606e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.66956e+00,3.66956e+00,9.55614e-01,0.00000e+00
-1.59966e+01,2.50165e-07,2.50165e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.70778e+00,3.70778e+00,9.55614e-01,0.00000e+00
-1.61615e+01,1.89723e-07,1.89723e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.74601e+00,3.74601e+00,9.55614e-01,0.00000e+00
-1.63265e+01,1.29282e-07,1.29282e-07,9.47155e-02,0.00000e+00,0.00000e+00,1,3.78423e+00,3.78423e+00,9.55614e-01,0.00000e+00
-1.64915e+01,6.88414e-08,6.88414e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,3.82246e+00,3.82246e+00,9.55614e-01,0.00000e+00
-1.66565e+01,6.49747e-08,6.49747e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,3.86068e+00,3.86068e+00,9.55614e-01,0.00000e+00
-1.68216e+01,6.11080e-08,6.11080e-08,9.47155e-02,0.00000e+00,0.00000e+00,1,3.89891e+00,3.89891e+00,9.55614e-01,0.00000e+00
