Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
160	-4.20392e-06	0.566259	4.20392e-06	0.566259	4.15011	3	0.174723	1
161	-4.18359e-06	0.563521	4.18359e-06	0.563521	4.15011	3	0.174723	1
162	-4.1633e-06	0.560788	4.1633e-06	0.560788	4.15011	3	0.174723	1
163	-4.14306e-06	0.558061	4.14306e-06	0.558061	4.15011	3	0.174723	1
164	-4.12286e-06	0.55534	4.12286e-06	0.55534	4.15011	3	0.174723	1
165	-4.1027e-06	0.552625	4.1027e-06	0.552625	4.15011	3	0.174723	1
166	-4.08257e-06	0.549914	4.08257e-06	0.549914	4.15011	3	0.174723	1
167	-4.06249e-06	0.547209	4.06249e-06	0.547209	4.15011	3	0.174723	1
168	-4.04245e-06	0.544509	4.04245e-06	0.544509	4.15011	3	0.174723	1
169	-4.02245e-06	0.541815	4.02245e-06	0.541815	4.15011	3	0.174723	1
170	-4.00248e-06	0.539126	4.00248e-06	0.539126	4.15011	3	0.174723	1
171	-3.98256e-06	0.536442	3.98256e-06	0.536442	4.15011	3	0.174723	1
172	-3.96267e-06	0.533764	3.96267e-06	0.533764	4.15011	3	0.174723	1
173	-3.94282e-06	0.53109	3.94282e-06	0.53109	4.15011	3	0.174723	1
174	-3.92303e-06	0.528423	3.92303e-06	0.528423	4.15011	3	0.174723	1
175	-3.90357e-06	0.525802	3.90357e-06	0.525802	4.15011	3	0.174723	1
176	-3.88415e-06	0.523187	3.88415e-06	0.523187	4.15011	3	0.174723	1
177	-3.86478e-06	0.520577	3.86478e-06	0.520577	4.15011	3	0.174723	1
178	-3.84554e-06	0.517986	3.84554e-06	0.517986	4.15011	3	0.174723	1
179	-3.8265e-06	0.515422	3.8265e-06	0.515422	4.15011	3	0.174723	1
180	-3.80752e-06	0.512864	3.80752e-06	0.512864	4.15011	3	0.174723	1
181	-3.78867e-06	0.510326	3.78867e-06	0.510326	4.15011	3	0.174723	1
182	-3.7699e-06	0.507797	3.7699e-06	0.507797	4.15011	3	0.174723	1
183	-3.75117e-06	0.505274	3.75117e-06	0.505274	4.15011	3	0.174723	1
184	-3.73249e-06	0.502758	3.73249e-06	0.502758	4.15011	3	0.174723	1
185	-3.7139e-06	0.500254	3.7139e-06	0.500254	4.15011	3	0.174723	1
186	-3.69562e-06	0.497792	3.69562e-06	0.497792	4.15011	3	0.174723	1
187	-3.67739e-06	0.495336	3.67739e-06	0.495336	4.15011	3	0.174723	1
188	-3.65921e-06	0.492888	3.65921e-06	0.492888	4.15011	3	0.174723	1
189	-3.64108e-06	0.490446	3.64108e-06	0.490446	4.15011	3	0.174723	1
190	-3.62301e-06	0.488012	3.62301e-06	0.488012	4.15011	3	0.174723	1
191	-3.60498e-06	0.485584	3.60498e-06	0.485584	4.15011	3	0.174723	1
192	-3.58701e-06	0.483163	3.58701e-06	0.483163	4.15011	3	0.174723	1
193	-3.56927e-06	0.480773	3.56927e-06	0.480773	4.15011	3	0.174723	1
194	-3.55192e-06	0.478436	3.55192e-06	0.478436	4.15011	3	0.174723	1
195	-3.53464e-06	0.476109	3.53464e-06	0.476109	4.15011	3	0.174723	1
196	-3.51742e-06	0.473789	3.51742e-06	0.473789	4.15011	3	0.174723	1
197	-3.50025e-06	0.471476	3.50025e-06	0.471476	4.15011	3	0.174723	1
198	-3.48314e-06	0.469171	3.48314e-06	0.469171	4.15011	3	0.174723	1
199	-3.46611e-06	0.466878	3.46611e-06	0.466878	4.15011	3	0.174723	1
200	-3.44934e-06	0.464619	3.44934e-06	0.464619	4.15011	3	0.174723	1
201	-3.43289e-06	0.462403	3.43289e-06	0.462403	4.15011	3	0.174723	1
202	-3.4165e-06	0.460196	3.4165e-06	0.460196	4.15011	3	0.174723	1
203	-3.40018e-06	0.457997	3.40018e-06	0.457997	4.15011	3	0.174723	1
204	-3.38403e-06	0.455821	3.38403e-06	0.455821	4.15011	3	0.174723	1
205	-3.36805e-06	0.45367	3.36805e-06	0.45367	4.15011	3	0.174723	1
206	-3.35214e-06	0.451527	3.35214e-06	0.451527	4.15011	3	0.174723	1
207	-3.33629e-06	0.449392	3.33629e-06	0.449392	4.15011	3	0.174723	1
208	-3.3205e-06	0.447264	3.3205e-06	0.447264	4.15011	3	0.174723	1
209	-3.30482e-06	0.445152	3.30482e-06	0.445152	4.15011	3	0.174723	1
210	-3.28936e-06	0.44307	3.28936e-06	0.44307	4.15011	3	0.174723	1
211	-3.27396e-06	0.440996	3.27396e-06	0.440996	4.15011	3	0.174723	1
212	-3.25863e-06	0.43893	3.25863e-06	0.43893	4.15011	3	0.174723	1
213	-3.24349e-06	0.436891	3.24349e-06	0.436891	4.15011	3	0.174723	1
214	-3.22849e-06	0.434871	3.22849e-06	0.434871	4.15011	3	0.174723	1
215	-3.21373e-06	0.432883	3.21373e-06	0.432883	4.15011	3	0.174723	1
216	-3.19908e-06	0.43091	3.19908e-06	0.43091	4.15011	3	0.174723	1
217	-3.1845e-06	0.428945	3.1845e-06	0.428945	4.15011	3	0.174723	1
