"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.89305,-0.89246,0.12822,1,0.05,0.05,0.5,0
-0.89267,-0.89207,0.12802,1,0.051,0.051,0.5,0
-0.89228,-0.89169,0.12783,1,0.052,0.052,0.5,0
-0.8919,-0.89131,0.12763,1,0.053,0.053,0.5,0
-0.89152,-0.89093,0.12744,1,0.054,0.054,0.5,0
-0.89114,-0.89054,0.12724,1,0.055,0.055,0.5,0
-0.89075,-0.89016,0.12705,1,0.056,0.056,0.5,0
-0.89037,-0.88978,0.12685,1,0.057,0.057,0.5,0
-0.88999,-0.8894,0.12666,1,0.058,0.058,0.5,0
-0.88961,-0.88901,0.12646,1,0.059,0.059,0.5,0
-0.88922,-0.88863,0.12627,1,0.06,0.06,0.5,0
-0.88872,-0.88813,0.12603,1,0.061,0.061,0.5,0
-0.88822,-0.88763,0.1258,1,0.062,0.062,0.5,0
-0.88772,-0.88713,0.12557,1,0.063,0.063,0.5,0
-0.88722,-0.88662,0.12534,1,0.064,0.064,0.5,0
-0.88672,-0.88612,0.1251,1,0.065,0.065,0.5,0
-0.88622,-0.88562,0.12487,1,0.066,0.066,0.5,0
-0.88572,-0.88512,0.12464,1,0.067,0.067,0.5,0
-0.88521,-0.88462,0.12441,1,0.068,0.068,0.5,0
-0.88471,-0.88412,0.12417,1,0.069,0.069,0.5,0
-0.88421,-0.88361,0.12394,1,0.07,0.07,0.5,0
-0.88356,-0.88296,0.12367,1,0.071,0.071,0.5,0
-0.88291,-0.88232,0.1234,1,0.072,0.072,0.5,0
-0.88226,-0.88167,0.12313,1,0.073,0.073,0.5,0
-0.88162,-0.88102,0.12286,1,0.074,0.074,0.5,0
-0.88097,-0.88037,0.12259,1,0.075,0.075,0.5,0
-0.88032,-0.87972,0.12232,1,0.076,0.076,0.5,0
-0.87967,-0.87907,0.12205,1,0.077,0.077,0.5,0
-0.87902,-0.87842,0.12178,1,0.078,0.078,0.5,0
-0.87837,-0.87777,0.12151,1,0.079,0.079,0.5,0
-0.87772,-0.87712,0.12124,1,0.08,0.08,0.5,0
-0.87689,-0.87629,0.12093,1,0.081,0.081,0.5,0
-0.87606,-0.87546,0.12062,1,0.082,0.082,0.5,0
-0.87523,-0.87463,0.12031,1,0.083,0.083,0.5,0
-0.8744,-0.8738,0.12,1,0.084,0.084,0.5,0
-0.87357,-0.87297,0.11969,1,0.085,0.085,0.5,0
-0.87274,-0.87213,0.11938,1,0.086,0.086,0.5,0
-0.87191,-0.8713,0.11907,1,0.087,0.087,0.5,0
-0.87107,-0.87047,0.11876,1,0.088,0.088,0.5,0
-0.87024,-0.86964,0.11846,1,0.089,0.089,0.5,0
-0.86941,-0.86881,0.11815,1,0.09,0.09,0.5,0
-0.86836,-0.86775,0.1178,1,0.091,0.091,0.5,0
-0.8673,-0.86669,0.11745,1,0.092,0.092,0.5,0
-0.86624,-0.86564,0.1171,1,0.093,0.093,0.5,0
-0.86519,-0.86458,0.11675,1,0.094,0.094,0.5,0
-0.86413,-0.86352,0.11641,1,0.095,0.095,0.5,0
-0.86307,-0.86247,0.11606,1,0.096,0.096,0.5,0
-0.86202,-0.86141,0.11571,1,0.097,0.097,0.5,0
-0.86096,-0.86035,0.11536,1,0.098,0.098,0.5,0
-0.8599,-0.85929,0.11501,1,0.099,0.099,0.5,0
-0.85885,-0.85824,0.11466,1,0.1,0.1,0.5,0
-0.85751,-0.8569,0.11428,1,0.101,0.101,0.5,0
-0.85618,-0.85557,0.11389,1,0.102,0.102,0.5,0
-0.85484,-0.85423,0.1135,1,0.103,0.103,0.5,0
-0.85351,-0.8529,0.11311,1,0.104,0.104,0.5,0
-0.85218,-0.85156,0.11272,1,0.105,0.105,0.5,0
-0.85084,-0.85023,0.11233,1,0.106,0.106,0.5,0
-0.84951,-0.8489,0.11194,1,0.107,0.107,0.5,0
-0.84817,-0.84756,0.11156,1,0.108,0.108,0.5,0
-0.84684,-0.84623,0.11117,1,0.109,0.109,0.5,0
-0.84551,-0.84489,0.11078,1,0.11,0.11,0.5,0
-0.84383,-0.84322,0.11035,1,0.111,0.111,0.5,0
-0.84216,-0.84155,0.10992,1,0.112,0.112,0.5,0
-0.84049,-0.83987,0.10949,1,0.113,0.113,0.5,0
-0.83881,-0.8382,0.10906,1,0.114,0.114,0.5,0
-0.83714,-0.83653,0.10863,1,0.115,0.115,0.5,0
-0.83547,-0.83485,0.1082,1,0.116,0.116,0.5,0
-0.8338,-0.83318,0.10777,1,0.117,0.117,0.5,0
-0.83212,-0.8315,0.10734,1,0.118,0.118,0.5,0
-0.83045,-0.82983,0.10691,1,0.119,0.119,0.5,0
-0.82878,-0.82816,0.10648,1,0.12,0.12,0.5,0
-0.82669,-0.82607,0.10601,1,0.121,0.121,0.5,0
-0.82461,-0.82399,0.10554,1,0.122,0.122,0.5,0
-0.82253,-0.82191,0.10506,1,0.123,0.123,0.5,0
-0.82044,-0.81982,0.10459,1,0.124,0.124,0.5,0
-0.81836,-0.81774,0.10412,1,0.125,0.125,0.5,0
-0.81628,-0.81565,0.10365,1,0.126,0.126,0.5,0
-0.81419,-0.81357,0.10317,1,0.127,0.127,0.5,0
-0.81211,-0.81149,0.1027,1,0.128,0.128,0.5,0
-0.81003,-0.8094,0.10223,1,0.129,0.129,0.5,0
-0.80794,-0.80732,0.10176,1,0.13,0.13,0.5,0
-0.80537,-0.80474,0.10124,1,0.131,0.131,0.5,0
-0.80279,-0.80216,0.10073,1,0.132,0.132,0.5,0
-0.80021,-0.79959,0.10021,1,0.133,0.133,0.5,0
-0.79764,-0.79701,0.099695,1,0.134,0.134,0.5,0
-0.79506,-0.79443,0.09918,1,0.135,0.135,0.5,0
-0.79249,-0.79186,0.098664,1,0.136,0.136,0.5,0
-0.78991,-0.78928,0.098149,1,0.137,0.137,0.5,0
-0.78733,-0.78671,0.097633,1,0.138,0.138,0.5,0
-0.78476,-0.78413,0.097117,1,0.139,0.139,0.5,0
-0.78218,-0.78155,0.096602,1,0.14,0.14,0.5,0
-0.77902,-0.77839,0.096041,1,0.141,0.141,0.5,0
-0.77586,-0.77523,0.095481,1,0.142,0.142,0.5,0
-0.77271,-0.77208,0.094921,1,0.143,0.143,0.5,0
-0.76955,-0.76892,0.094361,1,0.144,0.144,0.5,0
-0.76639,-0.76576,0.093801,1,0.145,0.145,0.5,0
-0.76323,-0.7626,0.093241,1,0.146,0.146,0.5,0
-0.76007,-0.75944,0.092681,1,0.147,0.147,0.5,0
-0.75691,-0.75628,0.092121,1,0.148,0.148,0.5,0
-0.75375,-0.75312,0.091561,1,0.149,0.149,0.5,0
-0.75059,-0.74996,0.091001,1,0.15,0.15,0.5,0
-0.74676,-0.74613,0.090395,1,0.151,0.151,0.5,0
-0.74292,-0.74229,0.08979,1,0.152,0.152,0.5,0
-0.73908,-0.73845,0.089185,1,0.153,0.153,0.5,0
-0.73525,-0.73461,0.088579,1,0.154,0.154,0.5,0
-0.73141,-0.73078,0.087974,1,0.155,0.155,0.5,0
-0.72757,-0.72694,0.087369,1,0.156,0.156,0.5,0
-0.72373,-0.7231,0.086763,1,0.157,0.157,0.5,0
-0.7199,-0.71927,0.086158,1,0.158,0.158,0.5,0
-0.71606,-0.71543,0.085553,1,0.159,0.159,0.5,0
-0.71222,-0.71159,0.084947,1,0.16,0.16,0.5,0
-0.70761,-0.70698,0.084296,1,0.161,0.161,0.5,0
-0.703,-0.70237,0.083645,1,0.162,0.162,0.5,0
-0.69839,-0.69776,0.082994,1,0.163,0.163,0.5,0
-0.69378,-0.69315,0.082343,1,0.164,0.164,0.5,0
-0.68917,-0.68854,0.081692,1,0.165,0.165,0.5,0
-0.68456,-0.68393,0.081041,1,0.166,0.166,0.5,0
-0.67995,-0.67932,0.08039,1,0.167,0.167,0.5,0
-0.67533,-0.67471,0.079739,1,0.168,0.168,0.5,0
-0.67072,-0.6701,0.079088,1,0.169,0.169,0.5,0
-0.66611,-0.66549,0.078437,1,0.17,0.17,0.5,0
-0.66064,-0.66002,0.07774,1,0.171,0.171,0.5,0
-0.65517,-0.65455,0.077043,1,0.172,0.172,0.5,0
-0.6497,-0.64908,0.076347,1,0.173,0.173,0.5,0
-0.64422,-0.64361,0.07565,1,0.174,0.174,0.5,0
-0.63875,-0.63814,0.074953,1,0.175,0.175,0.5,0
-0.63328,-0.63267,0.074256,1,0.176,0.176,0.5,0
-0.62781,-0.6272,0.07356,1,0.177,0.177,0.5,0
-0.62234,-0.62172,0.072863,1,0.178,0.178,0.5,0
-0.61686,-0.61625,0.072166,1,0.179,0.179,0.5,0
-0.61139,-0.61078,0.07147,1,0.18,0.18,0.5,0
-0.60499,-0.60439,0.070728,1,0.181,0.181,0.5,0
-0.59859,-0.59799,0.069986,1,0.182,0.182,0.5,0
-0.59219,-0.59159,0.069245,1,0.183,0.183,0.5,0
-0.58579,-0.58519,0.068503,1,0.184,0.184,0.5,0
-0.57939,-0.57879,0.067762,1,0.185,0.185,0.5,0
-0.57299,-0.57239,0.06702,1,0.186,0.186,0.5,0
-0.56659,-0.566,0.066278,1,0.187,0.187,0.5,0
-0.56019,-0.5596,0.065537,1,0.188,0.188,0.5,0
-0.55379,-0.5532,0.064795,1,0.189,0.189,0.5,0
-0.54739,-0.5468,0.064053,1,0.19,0.19,0.5,0
-0.54002,-0.53944,0.063269,1,0.191,0.191,0.5,0
-0.53266,-0.53208,0.062484,1,0.192,0.192,0.5,0
-0.5253,-0.52473,0.061699,1,0.193,0.193,0.5,0
-0.51793,-0.51737,0.060914,1,0.194,0.194,0.5,0
-0.51057,-0.51001,0.060129,1,0.195,0.195,0.5,0
-0.50321,-0.50265,0.059345,1,0.196,0.196,0.5,0
-0.49585,-0.49529,0.05856,1,0.197,0.197,0.5,0
-0.48848,-0.48793,0.057775,1,0.198,0.198,0.5,0
-0.48112,-0.48057,0.05699,1,0.199,0.199,0.5,0
-0.47376,-0.47321,0.056205,1,0.2,0.2,0.5,0
-0.46545,-0.46491,0.05538,1,0.201,0.201,0.5,0
-0.45713,-0.4566,0.054555,1,0.202,0.202,0.5,0
-0.44882,-0.44829,0.05373,1,0.203,0.203,0.5,0
-0.44051,-0.43999,0.052905,1,0.204,0.204,0.5,0
-0.4322,-0.43168,0.05208,1,0.205,0.205,0.5,0
-0.42389,-0.42338,0.051255,1,0.206,0.206,0.5,0
-0.41558,-0.41507,0.05043,1,0.207,0.207,0.5,0
-0.40727,-0.40676,0.049605,1,0.208,0.208,0.5,0
-0.39896,-0.39846,0.04878,1,0.209,0.209,0.5,0
-0.39065,-0.39015,0.047955,1,0.21,0.21,0.5,0
-0.38146,-0.38097,0.047094,1,0.211,0.211,0.5,0
-0.37227,-0.37179,0.046233,1,0.212,0.212,0.5,0
-0.36309,-0.36262,0.045372,1,0.213,0.213,0.5,0
-0.3539,-0.35344,0.044511,1,0.214,0.214,0.5,0
-0.34472,-0.34426,0.04365,1,0.215,0.215,0.5,0
-0.33553,-0.33508,0.042788,1,0.216,0.216,0.5,0
-0.32635,-0.3259,0.041927,1,0.217,0.217,0.5,0
-0.31716,-0.31672,0.041066,1,0.218,0.218,0.5,0
-0.30798,-0.30755,0.040205,1,0.219,0.219,0.5,0
-0.29879,-0.29837,0.039344,1,0.22,0.22,0.5,0
-0.28888,-0.28846,0.038453,1,0.221,0.221,0.5,0
-0.27896,-0.27855,0.037561,1,0.222,0.222,0.5,0
-0.26904,-0.26864,0.03667,1,0.223,0.223,0.5,0
-0.25913,-0.25873,0.035779,1,0.224,0.224,0.5,0
-0.24921,-0.24882,0.034887,1,0.225,0.225,0.5,0
-0.23929,-0.23891,0.033996,1,0.226,0.226,0.5,0
-0.22937,-0.229,0.033105,1,0.227,0.227,0.5,0
-0.21946,-0.21909,0.032213,1,0.228,0.228,0.5,0
-0.20954,-0.20919,0.031322,1,0.229,0.229,0.5,0
-0.19962,-0.19928,0.030431,1,0.23,0.23,0.5,0
-0.18918,-0.18884,0.029516,1,0.231,0.231,0.5,0
-0.17874,-0.17841,0.028601,1,0.232,0.232,0.5,0
-0.16829,-0.16798,0.027687,1,0.233,0.233,0.5,0
-0.15785,-0.15754,0.026772,1,0.234,0.234,0.5,0
