"alpha","alpha_0","mu","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.8608,0.85983,-0.020202,1,0.364,0.5,0.364,0
0.86338,0.86241,-0.020305,1,0.365,0.5,0.365,0
0.86597,0.865,-0.020407,1,0.366,0.5,0.366,0
0.86855,0.86758,-0.02051,1,0.367,0.5,0.367,0
0.87113,0.87016,-0.020612,1,0.368,0.5,0.368,0
0.87372,0.87275,-0.020715,1,0.369,0.5,0.369,0
0.8763,0.87533,-0.020817,1,0.37,0.5,0.37,0
0.87838,0.87741,-0.02091,1,0.371,0.5,0.371,0
0.88045,0.87948,-0.021003,1,0.372,0.5,0.372,0
0.88253,0.88156,-0.021095,1,0.373,0.5,0.373,0
0.88461,0.88364,-0.021188,1,0.374,0.5,0.374,0
0.88669,0.88572,-0.021281,1,0.375,0.5,0.375,0
0.88876,0.88779,-0.021374,1,0.376,0.5,0.376,0
0.89084,0.88987,-0.021466,1,0.377,0.5,0.377,0
0.89292,0.89195,-0.021559,1,0.378,0.5,0.378,0
0.895,0.89402,-0.021652,1,0.379,0.5,0.379,0
0.89707,0.8961,-0.021745,1,0.38,0.5,0.38,0
0.89873,0.89776,-0.021828,1,0.381,0.5,0.381,0
0.90039,0.89942,-0.021912,1,0.382,0.5,0.382,0
0.90206,0.90108,-0.021996,1,0.383,0.5,0.383,0
0.90372,0.90274,-0.02208,1,0.384,0.5,0.384,0
0.90538,0.9044,-0.022163,1,0.385,0.5,0.385,0
0.90704,0.90606,-0.022247,1,0.386,0.5,0.386,0
0.9087,0.90773,-0.022331,1,0.387,0.5,0.387,0
0.91036,0.90939,-0.022415,1,0.388,0.5,0.388,0
0.91202,0.91105,-0.022498,1,0.389,0.5,0.389,0
0.91368,0.91271,-0.022582,1,0.39,0.5,0.39,0
0.915,0.91403,-0.022657,1,0.391,0.5,0.391,0
0.91632,0.91535,-0.022733,1,0.392,0.5,0.392,0
0.91764,0.91667,-0.022808,1,0.393,0.5,0.393,0
0.91896,0.91799,-0.022883,1,0.394,0.5,0.394,0
0.92028,0.91931,-0.022959,1,0.395,0.5,0.395,0
0.9216,0.92063,-0.023034,1,0.396,0.5,0.396,0
0.92292,0.92195,-0.023109,1,0.397,0.5,0.397,0
0.92425,0.92327,-0.023185,1,0.398,0.5,0.398,0
0.92557,0.92459,-0.02326,1,0.399,0.5,0.399,0
